"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Markdown", "TypeScript", "Python", "vue", "MS SQL", "PostCSS", "Shell Script", "Properties", "YAML", "Docker", "pip requirements", "HTML", "Ignore", "XML", "comment", "blank", "total"
"d:\Code\Gw2-wvw-log-analyzer\docs\05-features\batch-parse.md", "Markdown", 0, 0, 0, 655, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 174, 829
"d:\Code\Gw2-wvw-log-analyzer\docs\05-features\data-storage-strategy.md", "Markdown", 0, 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 192
"d:\Code\Gw2-wvw-log-analyzer\docs\05-features\dictionary-usage.md", "Markdown", 0, 0, 0, 324, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 103, 435
"d:\Code\Gw2-wvw-log-analyzer\docs\05-features\ei-report-api-design.md", "Markdown", 0, 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 223
"d:\Code\Gw2-wvw-log-analyzer\docs\05-features\skill-rotation.md", "Markdown", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 98
"d:\Code\Gw2-wvw-log-analyzer\docs\06-deployment\deploy-debian12.md", "Markdown", 0, 0, 0, 363, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 480
"d:\Code\Gw2-wvw-log-analyzer\docs\06-deployment\deploy-docker-ecs.md", "Markdown", 0, 0, 0, 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 490
"d:\Code\Gw2-wvw-log-analyzer\docs\COMPONENTS_GUIDE.md", "Markdown", 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 148
"d:\Code\Gw2-wvw-log-analyzer\docs\README.md", "Markdown", 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 112
"d:\Code\Gw2-wvw-log-analyzer\docs\api_documentation.md", "Markdown", 0, 0, 0, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 312
"d:\Code\Gw2-wvw-log-analyzer\docs\architecture-guide.md", "Markdown", 0, 0, 0, 281, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 366
"d:\Code\Gw2-wvw-log-analyzer\docs\build-library-api-spec.md", "Markdown", 0, 0, 0, 393, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 490
"d:\Code\Gw2-wvw-log-analyzer\docs\change-log.md", "Markdown", 0, 0, 0, 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 235
"d:\Code\Gw2-wvw-log-analyzer\docs\code-review-action-plan.md", "Markdown", 0, 0, 0, 305, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 392
"d:\Code\Gw2-wvw-log-analyzer\docs\code-review-checklist.md", "Markdown", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 77
"d:\Code\Gw2-wvw-log-analyzer\docs\combat-replay-architecture.md", "Markdown", 0, 0, 0, 241, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 316
"d:\Code\Gw2-wvw-log-analyzer\docs\document-classification-v2.md", "Markdown", 0, 0, 0, 357, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 414
"d:\Code\Gw2-wvw-log-analyzer\docs\document-classification.md", "Markdown", 0, 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 179
"d:\Code\Gw2-wvw-log-analyzer\docs\openapi_schema.json", "JSON", 0, 0, 9445, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9445
"d:\Code\Gw2-wvw-log-analyzer\docs\requirements.md", "Markdown", 0, 0, 0, 184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 186
"d:\Code\Gw2-wvw-log-analyzer\docs\version-log.md", "Markdown", 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 103
"d:\Code\Gw2-wvw-log-analyzer\docs\项目规则.md", "Markdown", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 77
"d:\Code\Gw2-wvw-log-analyzer\frontend\.eslintrc.json", "JSON with Comments", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"d:\Code\Gw2-wvw-log-analyzer\frontend\README.md", "Markdown", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 108
"d:\Code\Gw2-wvw-log-analyzer\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"d:\Code\Gw2-wvw-log-analyzer\frontend\package-lock.json", "JSON", 0, 0, 11465, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11466
"d:\Code\Gw2-wvw-log-analyzer\frontend\package.json", "JSON", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 53
"d:\Code\Gw2-wvw-log-analyzer\frontend\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Code\Gw2-wvw-log-analyzer\frontend\public\ai-integration-prototype.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1087, 0, 0, 19, 163, 1269
"d:\Code\Gw2-wvw-log-analyzer\frontend\public\ai-integration-test.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1127, 0, 0, 11, 141, 1279
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\App.vue", "vue", 0, 0, 0, 0, 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26, 173
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\README.md", "Markdown", 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 171
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\api\ai\ai.ts", "TypeScript", 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 15, 120
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\api\combat\fights.ts", "TypeScript", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 8, 88
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\api\combat\logs.ts", "TypeScript", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 15, 128
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\api\data\attendance.ts", "TypeScript", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 8, 59
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\api\data\dashboard.ts", "TypeScript", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 11, 75
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\api\index.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 27
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\api\system\dictionary.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 18
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\data\builds.json", "JSON", 0, 0, 1119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1119
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\buff\alacrity.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"d:\Code\Gw2-wvw-log-analyzer\frontend\src\assets\icons\buff\fury.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
